time_utc,label,2m_temperature,2m_dewpoint_temperature,maximum_2m_temperature_since_previous_post_processing,minimum_2m_temperature_since_previous_post_processing,surface_pressure,mean_sea_level_pressure,10m_u_component_of_wind,10m_v_component_of_wind,10m_wind_gust_since_previous_post_processing,total_precipitation,convective_precipitation,large_scale_precipitation,mean_total_precipitation_rate,total_column_water_vapour,total_cloud_cover,geopotential,convective_available_potential_energy,precip_rate_mm_per_hr,precip_1h,precip_3h,precip_6h,wind_speed_10m,wind_dir_10m_deg,wind_gust_10m,wind_gust_dir_deg,morning_temp,afternoon_temp,daily_min_temp,daily_max_temp,morning_rh,afternoon_rh,daily_rh_min,daily_rh_max,dewpoint_depression_c,station_lat,station_lon
,1,284.295,272.538,389.964,283.873,58462.761,96641.432,0.1761047693510555,-0.381,7.45,0.061,-0.001,0.0,0.0,31.173630642085186,0.703,48214.772,277.598,0.00018991517436380773,0.6797272583201269,0.135,0.237,1.1185108974358975,166.868981074579,7.907,1.0,285.404,303.45619514955536,280.476,287.403,57.197,40.995,73.29326036249014,165.146,13.657,34.777,77.257
,1,279.695,284.268,287.666,272.019,53479.803,98047.367,1.058,-0.59,5.453180193236714,0.6765805065234076,0.002,-0.0,-0.002,19.642,0.715,47309.672,335.522,-0.001,0.6797272583201269,0.736,1.362,1.1185108974358975,293.394,7.876,1.0,301.0289560691872,281.818,264.68,304.0114993913573,57.799,42.96,36.56,79.67,14.134,34.895,77.999
,0,301.6345762685402,524.877,281.918,390.223,78694.730882662,96540.375,0.797,-0.641,7.632,0.052,-0.0,-0.0,0.0001823262839879154,19.664,0.7944468408262454,48341.211,290.037,-0.0,0.051,2.043423367593712,4.100759235668789,1.012,166.868981074579,5.461412030755315,1.0,294.953,286.948,279.218,287.615,61.899,41.005,35.011,79.515,14.78,33.714,78.167
,1,301.6345762685402,298.3190619678335,272.168,288.476,54479.455,103084.783,0.606,-0.494,5.453180193236714,0.057,-0.001,0.002,-0.0,19.121,0.749,81792.306,219.852,-0.0,0.058,0.293,0.579,0.754,317.406,5.461412030755315,1.0,281.816,297.694,298.4101307426054,304.0114993913573,59.605,40.261,37.877,80.913,15.166,35.786,74.696
,0,282.616,298.3190619678335,272.316,294.806,58427.289,102137.922,0.398,-0.144,6.794,-0.079,0.00024330392943063353,0.000466830090393749,-0.001,31.173630642085186,0.7944468408262454,46726.21,200.781,-0.001,-0.079,-0.1,0.074,0.86,295.514,6.646,1.0,276.044,278.31,284.833,283.002,58.773,41.522,73.29326036249014,144.923,12.146,35.059,79.93625342679128
,1,282.209,282.436,300.4776422074919,292.356,96110.014,101054.329,0.252,0.149,5.453180193236714,-0.107,0.00024330392943063353,0.001,0.001,31.173630642085186,0.584,48017.057,154.738,0.00018991517436380773,-0.108,-0.214,-0.108,0.507,423.693,6.303,1.0,271.675,283.567,277.747,288.117,61.41,40.25,37.941,115.916,9.216,34.127,76.263
,0,275.414,260.315,300.4776422074919,287.575,83919.037,100468.609,0.061,0.23838879046545336,5.599,-0.152,0.001,-0.001,0.0001823262839879154,31.173630642085186,0.7944468408262454,49818.471,150.387,-0.0,-0.154,-0.365,4.100759235668789,0.195,201.729,5.958,1.0,271.376,290.515,271.453,290.566,58.24,39.78,34.759,74.41,8.707,34.15,78.312
,0,269.144,284.12,288.263,299.81499398426655,78694.730882662,103717.53,0.001,0.23838879046545336,5.006,-0.195,-0.001,0.0,0.001,28.528,0.416,48553.03,150.482,0.00018991517436380773,-0.185,-0.458,-0.65,1.1185108974358975,176.643,9.783,1.0,292.354,294.727,298.4101307426054,304.0114993913573,62.288,42.3,34.952,97.21177445652174,9.05,34.428,79.93625342679128
,0,291.914,279.258,300.4776422074919,279.056,56592.967,100201.619,0.1761047693510555,0.109,4.391,-0.215,-0.001,0.0,0.001,16.682,0.421,50973.339,286.929,-0.001,-0.204,2.043423367593712,-0.835,0.151,228.295,5.461412030755315,1.0,282.887,303.45619514955536,271.419,297.919,59.909,79.54927951657885,37.922,76.902,3.1886087160262413,32.939,79.523
,1,293.084,278.233,401.643,270.078,54231.787,104913.798,0.219,-0.009,3.746,-0.203,-0.0,-0.001,0.0001823262839879154,17.227,0.439,47916.788,337.12472982675195,-0.0,-0.199,-0.559,4.100759235668789,0.228,265.215,3.809,1.0,277.041,279.54,288.505,304.0114993913573,53.259,33.171,73.29326036249014,74.018,7.413,35.326,77.576
,1,282.173,267.312,300.4776422074919,276.674,53836.241,99967.095,0.208,-0.116,3.768,0.6765805065234076,-0.0,0.000466830090393749,-0.001,16.562,0.7944468408262454,50779.716,145.121,-0.0,0.6797272583201269,-0.579,4.100759235668789,0.232,286.54,3.83,1.0,281.437,287.243,289.137,277.284,54.238,34.814,28.899,76.315,3.1886087160262413,33.979,122.395
,1,301.6345762685402,284.212,284.751,269.429,78694.730882662,96790.459,0.163,-0.176,3.855,-0.216,0.001,0.001,0.001,16.268,0.484,46568.717,129.712,0.0,-0.223,-0.579,-1.003,0.24,166.868981074579,3.763,1.0,291.721,281.771,284.69,282.301,56.096,32.451,26.983,73.304,10.1,32.71494814105633,76.939
,0,301.6345762685402,281.115,276.613,273.591,54104.938,97933.488,0.1761047693510555,0.23838879046545336,3.988,-0.201,0.00024330392943063353,0.000466830090393749,0.001,17.463,0.501,49597.74,51.214,0.00018991517436380773,-0.21,2.043423367593712,-0.948,0.341,332.528,3.801,1.0,290.22,281.769,298.4101307426054,282.156,84.15818918490326,31.945,27.566,97.21177445652174,4.923,34.123,75.251
,1,281.324,271.959,300.4776422074919,272.831,54681.661,102551.088,-0.283,-0.253,3.798,-0.206,0.00024330392943063353,-0.001,0.0001823262839879154,31.173630642085186,0.504,48206.703,34.51,-0.001,-0.214,-0.591,-0.998,1.1185108974358975,40.004,6.049,1.0,285.715,292.313,298.4101307426054,280.427,53.935,33.687,73.29326036249014,72.564,4.198,33.192,73.555
,0,284.465,260.616,286.165,507.063,57675.108,96928.238,-0.248,-0.216,3.911,-0.232,0.001,-0.001,0.0001823262839879154,16.969,0.7944468408262454,49937.786,21.146,0.0,-0.22,-1.207,-1.05,0.33,75.006,3.903,1.0,277.056,303.45619514955536,269.158,278.922,51.805,32.975,27.286,72.577,4.301,35.049,74.423
,1,301.6345762685402,298.3190619678335,399.003,275.301,55834.339,156947.647,-0.352,0.23838879046545336,3.946,-0.237,0.0,0.001,-0.002,16.969,0.496,50924.325,16.301,-0.001,0.6797272583201269,-0.647,-1.088,0.424,55.792,4.124,1.0,277.064,300.185,267.717,304.0114993913573,56.021,79.54927951657885,26.868,72.743,4.301,35.667,73.927
,1,269.441,269.867,272.697,299.81499398426655,54640.849,100873.371,-0.542,-0.336,4.559,-0.241,0.001,-0.001,0.0001823262839879154,16.003,0.403,49069.648,13.794,-0.001,-0.225,-0.632,-1.106,1.1185108974358975,55.333,4.508,1.0,279.411,276.027,278.942,304.0114993913573,56.363,79.54927951657885,26.344,97.21177445652174,6.236,32.71494814105633,73.939
,0,276.625,263.854,271.944,371.845,57247.795,105187.801,-0.562,-0.362,4.509,-0.337,0.00024330392943063353,0.002,0.001,17.217,0.324,47341.327,54.133,0.0,0.6797272583201269,-0.631,-1.134,1.1185108974358975,57.445,4.814,1.0,282.825,290.511,275.79,292.768,84.15818918490326,33.542,27.305,73.557,8.13,33.571,73.707
,0,294.555,265.216,296.542,272.946,55975.532,97730.379,0.1761047693510555,-0.335,5.274,-0.236,-0.001,0.001,-0.001,31.173630642085186,0.26,46505.11,42.372,0.0,-0.236,-0.624,-1.116,0.707,60.114,5.123,1.0,616.456,274.298,360.777,294.299,51.765,32.485,27.099,72.423,9.633,35.378,75.949
,1,291.168,266.504,271.071,287.873,54477.5,96266.49,-0.514,-0.12,5.453180193236714,0.6765805065234076,-0.0,-0.001,0.001,17.062,0.209,47958.702,92.057,-0.0,0.6797272583201269,-0.51,4.100759235668789,0.57,77.753,5.486,1.0,286.206,535.062,298.4101307426054,304.0114993913573,54.897,34.299,27.795,75.17,3.1886087160262413,32.71494814105633,78.915
,0,288.09,268.473,285.148,274.542,58313.08,104387.0666266772,0.1761047693510555,0.171,5.747,0.6765805065234076,0.0,0.000466830090393749,0.0001823262839879154,16.764,0.404,49641.649,337.12472982675195,0.0,0.6797272583201269,-0.422,-0.724,1.1185108974358975,122.258,5.689,1.0,301.0289560691872,301.208,282.987,301.899,53.86,34.082,73.29326036249014,76.929,16.05,34.949,79.692
,0,284.805,259.338,292.965,293.439,55072.949,104387.0666266772,0.327,0.007,5.733,-0.082,-0.001,0.0,-0.001,17.293,0.774,50781.939,337.12472982675195,0.0,-0.079,-0.246,-0.458,0.329,266.086,5.484,1.0,271.392,303.45619514955536,298.4101307426054,304.0114993913573,51.506,33.182,27.119,77.349,16.405,33.378,80.566
,1,295.494,274.868,295.72,299.81499398426655,78694.730882662,102804.771,0.843,-0.413,6.408,-0.072,0.0,0.0,0.0,17.296,0.7944468408262454,48511.696,331.376,-0.0,-0.075,-0.369,-0.351,0.944,295.656,5.461412030755315,1.0,290.507,431.349,290.845,293.865,56.055,79.54927951657885,26.273,75.921,17.219,32.71494814105633,75.774
,1,281.068,277.493,288.532,510.127,55568.063,97051.048,0.977,-0.744,7.531,0.015,0.00024330392943063353,0.000466830090393749,0.0,19.048,0.579,47624.25,507.36,-0.001,0.013,0.028,4.100759235668789,1.205,166.868981074579,7.66,1.0,296.711,291.822,275.439,299.338,84.15818918490326,33.062,28.507,127.149,3.1886087160262413,32.531,78.702
,0,301.6345762685402,264.379,293.144,573.38,56188.345,104798.267,0.828,0.23838879046545336,8.992,0.201,-0.001,-0.001,0.001,20.401,0.7944468408262454,48586.019,255.68,0.001,0.221,0.503,0.861,1.034,313.609,5.461412030755315,1.0,285.797,280.82,273.489,297.201,54.323,34.069,73.29326036249014,74.0,13.468,35.555,79.664
,1,280.281,262.405,300.4776422074919,291.911,53253.836,99094.571,0.845,0.23838879046545336,8.56,0.054,-0.001,-0.002,-0.0,31.173630642085186,0.466,50676.493,337.12472982675195,0.00018991517436380773,0.6797272583201269,0.236,0.408,1.1185108974358975,307.239,8.394,1.0,270.058,282.976,275.174,304.0114993913573,84.15818918490326,34.617,73.29326036249014,74.535,15.065,33.929,76.927
,1,275.669,415.558,293.913,281.647,55017.391,100069.289,0.804,0.23838879046545336,8.07,0.6765805065234076,0.001,-0.001,-0.002,31.173630642085186,0.513,47054.316,185.697,0.002,0.04,0.233,4.100759235668789,1.1185108974358975,298.419,7.924,1.0,284.483,303.45619514955536,298.4101307426054,300.514,55.933,33.923,73.29326036249014,72.122,15.722,35.716,73.703
,0,301.6345762685402,283.078,528.232,299.81499398426655,78694.730882662,95398.492,0.804,-0.252,6.998,-0.05,0.00024330392943063353,-0.001,-0.0,17.766,0.7944468408262454,49926.607,178.657,0.00018991517436380773,-0.051,-0.043,0.092,1.545,292.668,5.461412030755315,1.0,278.5,276.148,298.4101307426054,304.0114993913573,56.445,32.322,27.827,72.14,16.044,34.354,79.166
,1,301.6345762685402,298.3190619678335,297.758,276.46,93176.554,101484.577,0.1761047693510555,0.044,6.306,-0.15,0.001,0.0,0.0001823262839879154,17.639,0.328,25344.456596221018,167.941,-0.001,-0.15,-0.297,-0.287,0.684,267.802,6.497,1.0,301.0289560691872,293.958,277.266,304.0114993913573,84.15818918490326,79.54927951657885,28.767,77.081,12.998,32.554,79.965
,0,294.487,269.494,300.4776422074919,285.761,54922.68,104840.207,0.584,0.23838879046545336,5.56,0.6765805065234076,-0.0,0.002,0.0,17.619,0.313,25344.456596221018,182.547,-0.0,-0.213,-0.492,-0.575,0.599,266.131,5.712,1.0,280.949,300.96,288.335,280.271,55.482,33.035,26.175,72.958,10.997,33.896,81.105
,0,281.208,264.79,286.314,289.813,56303.044,103622.46,0.1761047693510555,0.043,4.965,0.6765805065234076,0.001,0.002,-0.001,16.939,0.238,46275.604,179.85,0.001,-0.222,2.043423367593712,-0.795,0.421,261.66,4.909,1.0,277.949,290.982,298.4101307426054,289.081,84.15818918490326,46.881,28.889,76.094,3.1886087160262413,33.901,104.066
,0,278.195,284.526,300.4776422074919,299.81499398426655,54282.449,102110.726,0.371,0.23838879046545336,5.453180193236714,-0.231,0.0,0.000466830090393749,0.002,16.799,0.272,25344.456596221018,189.876,0.0,-0.223,-0.638,4.100759235668789,0.406,271.281,4.674,1.0,283.182,303.45619514955536,279.082,302.416,84.15818918490326,34.357,27.169,97.21177445652174,8.434,32.71494814105633,77.727
,0,294.192,270.206,286.551,268.121,57685.629,104387.0666266772,0.285,0.065,4.242,-0.223,0.001,0.0,-0.0,16.678,0.302,25344.456596221018,188.366,0.00018991517436380773,-0.219,-0.62,-0.957,0.297,166.868981074579,5.461412030755315,1.0,301.0289560691872,303.45619514955536,270.947,300.314,72.361,79.54927951657885,27.891,70.662,3.1886087160262413,32.71494814105633,75.945
,1,274.398,298.3190619678335,282.105,270.622,78694.730882662,104406.306,0.28,0.028,5.453180193236714,-0.207,-0.0,0.0,-0.0,17.313,0.316,25344.456596221018,191.568,-0.001,-0.191,-0.571,-1.002,0.275,269.375,4.048,1.0,277.594,303.45619514955536,274.334,275.373,56.4,36.644,37.161,73.77,6.972,34.991,78.369
,1,280.81,282.274,269.42,278.091,56823.34,104133.89,0.1761047693510555,-0.031,3.894,-0.207,0.0,0.0,0.0,17.039,0.401,25344.456596221018,165.926,0.0,-0.208,-0.555,-1.014,0.327,286.31,3.899,1.0,282.506,301.205,437.356,277.469,56.883,79.54927951657885,36.83,78.155,6.228,34.936,79.795
,0,301.6345762685402,298.3190619678335,284.4,271.869,55652.265,204329.26,0.1761047693510555,-0.095,3.89,0.6765805065234076,-0.001,-0.001,-0.001,31.173630642085186,0.425,46959.81,143.736,-0.001,-0.308,-0.553,-0.955,0.179,309.618,5.461412030755315,1.0,288.317,287.515,275.581,281.792,59.58,35.122,34.638,72.385,5.977,35.141,105.291
,1,290.551,282.205,286.674,289.727,55759.281,99330.438,0.091,-0.131,3.709,-0.206,0.001,0.0,-0.001,31.173630642085186,0.7944468408262454,25344.456596221018,110.871,0.001,-0.191,2.043423367593712,-0.889,0.159,337.422,3.834,1.0,283.706,284.122,264.213,278.652,84.15818918490326,38.085,36.821,74.637,3.1886087160262413,32.71494814105633,79.395
,1,301.6345762685402,272.569,266.109,280.342,57359.076,97822.789,0.153,-0.249,3.766,-0.218,0.002,-0.001,0.002,16.854,0.464,25344.456596221018,63.808,0.0,-0.21,-0.556,4.100759235668789,0.281,166.868981074579,3.54,1.0,296.321,296.882,266.062,304.0114993913573,59.902,38.752,73.29326036249014,74.386,4.219,32.71494814105633,79.664
,1,271.866,298.3190619678335,281.429,299.81499398426655,55829.592,99057.491,0.104,-0.248,3.42,-0.216,-0.0,-0.0,0.001,16.385,0.468,46508.331,45.321,-0.003,0.6797272583201269,2.043423367593712,-1.061,0.257,166.868981074579,3.747,1.0,275.502,303.45619514955536,298.4101307426054,280.66,59.773,37.388,36.977,97.21177445652174,4.087,32.768,74.534
,1,274.828,278.598,268.305,265.387,57057.515,161610.752,0.186,-0.234,3.459,-0.229,-0.001,-0.0,0.0001823262839879154,16.284,0.488,49006.04,54.364,-0.001,0.6797272583201269,-0.622,-1.057,1.1185108974358975,314.56,3.771,1.0,274.027,284.848,298.4101307426054,304.0114993913573,58.525,79.54927951657885,36.683,72.641,3.941,34.592,78.498
,0,301.6345762685402,263.582,271.308,299.81499398426655,54821.294,100744.277,0.148,-0.239,3.831,-0.488,0.0,0.001,-0.0,16.652,0.4,49600.254,57.873,0.001,-0.221,-0.601,-1.037,0.303,334.333,3.851,1.0,554.205,294.455,285.741,288.474,54.754,54.936,36.842,78.062,10.387,33.218,81.146
,0,283.396,540.775,271.18,299.81499398426655,54212.631,99956.046,0.1761047693510555,-0.266,6.522,-0.233,0.001,0.001,0.0,16.158,0.285,48542.106,74.169,0.0,-0.239,-0.611,-1.045,0.269,345.342,5.461412030755315,1.0,271.372,291.717,298.4101307426054,302.428,84.15818918490326,36.698,36.711,75.277,7.288,35.76,80.792
,0,291.509,281.599,290.136,266.939,58576.022,97047.593,-0.124,0.23838879046545336,4.58,-0.237,0.00024330392943063353,0.000466830090393749,0.0001823262839879154,17.297,0.191,48816.548,337.12472982675195,0.00018991517436380773,-0.235,-0.663,-1.046,0.157,51.064,4.641,1.0,293.161,283.033,298.4101307426054,275.047,57.856,36.183,73.29326036249014,77.774,9.232,35.245,75.943
,1,271.974,298.3190619678335,293.328,280.576,54498.522,104387.0666266772,-0.018,0.176,5.453180193236714,-0.175,0.00024330392943063353,0.000466830090393749,-0.0,17.105,0.204,48158.937,204.97,-0.001,0.6797272583201269,-0.495,-0.852,0.172,260.946,5.192,1.0,292.302,303.45619514955536,465.607,304.0114993913573,58.092,38.097,73.29326036249014,76.474,3.1886087160262413,34.915,79.93625342679128
,0,292.365,285.158,288.407,296.182,58621.048,97902.301,0.237,0.392,5.453180193236714,0.6765805065234076,0.001,-0.0,0.002,18.002,0.384,48313.855,337.12472982675195,0.0,-0.132,-0.365,-0.681,0.475,200.773,11.661,1.0,301.0289560691872,275.132,282.735,304.0114993913573,60.127,35.558,36.385,77.438,19.71,33.249,74.272
,1,278.124,298.3190619678335,300.4776422074919,299.81499398426655,58539.796,104387.0666266772,0.1761047693510555,0.426,5.453180193236714,-0.096,-0.0,0.001,-0.002,17.285,0.878,50242.417,468.394,0.0,-0.103,-0.285,4.100759235668789,0.666,231.481,5.923,1.0,287.732,285.229,298.4101307426054,276.451,84.15818918490326,38.037,36.666,73.534,13.766,34.208,80.582
,0,284.991,268.4,300.4776422074919,451.566,54808.756,98397.09,0.838,0.014,6.18,0.6765805065234076,0.001,0.000466830090393749,-0.0,17.406,0.615,48811.474,573.386,0.001,-0.1,-0.271,-0.449,0.86,257.807,6.276,1.0,270.969,303.45619514955536,298.4101307426054,300.266,59.88,37.408,34.126,154.82,14.205,32.478,80.274
,1,301.887,272.179,297.569,299.81499398426655,89239.863,105329.611,1.049,0.23838879046545336,5.453180193236714,-0.063,-0.002,-0.001,0.001,17.611,0.596,46566.809,620.396,0.0,0.6797272583201269,2.043423367593712,4.100759235668789,1.056,291.393,7.025,1.0,510.972,282.731,280.589,279.907,58.748,38.658,36.586,72.275,14.032,35.049,79.93625342679128
,1,301.6345762685402,527.879,289.373,289.237,78694.730882662,104387.0666266772,1.26,0.23838879046545336,7.974,0.183,0.0,-0.001,-0.001,20.425,0.7944468408262454,25344.456596221018,439.143,-0.001,0.6797272583201269,0.401,0.817,1.279,306.056,7.554,1.0,294.397,296.521,298.4101307426054,283.341,58.16,38.742,73.29326036249014,77.44,14.932,33.565,140.405
,0,279.238,260.221,277.904,299.81499398426655,55423.727,104292.138,1.518,-0.754,8.846,0.218,0.001,0.001,0.0001823262839879154,19.016,0.7944468408262454,25344.456596221018,328.521,-0.001,0.221,0.591,4.100759235668789,1.274,166.868981074579,9.014,1.0,275.526,281.572,278.507,291.479,56.787,35.384,34.489,73.788,14.566,35.056,75.81
,1,282.451,298.3190619678335,275.392,293.376,78694.730882662,104387.0666266772,1.122,-0.598,8.78,0.6765805065234076,-0.002,-0.0,-0.0,18.091,0.556,49206.711,213.707,0.003,0.6797272583201269,2.043423367593712,0.628,1.221,430.183,5.461412030755315,1.0,271.029,290.377,298.4101307426054,300.444,57.939,36.784,35.996,97.21177445652174,14.528,33.06,77.177
,1,301.6345762685402,259.15,282.102,299.81499398426655,56112.475,104410.814,1.055,-0.307,7.727,-0.082,0.002,-0.0,0.003,17.361,0.7944468408262454,49887.019,337.12472982675195,-0.002,-0.074,-0.029,4.100759235668789,1.1185108974358975,292.135,5.461412030755315,1.0,287.355,277.691,269.694,289.607,84.15818918490326,36.557,35.796,74.322,14.498,33.411,80.4
,0,402.835,276.031,300.4776422074919,287.594,54912.05,104387.0666266772,0.1761047693510555,-0.008,10.687,-0.155,0.00024330392943063353,-0.002,0.0001823262839879154,16.858,0.493,46554.827,217.437,0.0,-0.168,-0.324,-0.303,0.794,270.239,7.041,1.0,296.121,296.437,272.029,304.0114993913573,57.372,36.769,34.085,77.711,11.964,34.794,74.297
,0,296.794,276.708,427.666,272.139,54856.662,96921.122,0.489,0.142,5.67,-0.209,0.001,-0.002,-0.002,17.333,0.429,46479.998,203.737,-0.002,-0.204,-0.51,4.100759235668789,1.1185108974358975,166.868981074579,8.392,1.0,295.513,279.364,288.181,304.0114993913573,55.655,35.52,73.29326036249014,74.245,9.329,35.187,78.12
,1,286.148,269.569,300.4776422074919,276.598,55737.331,98018.902,0.242,0.23838879046545336,4.763,0.6765805065234076,-0.001,0.001,0.0,17.814,0.7944468408262454,49490.14,175.608,0.001,-0.207,-0.544,-0.688,0.313,166.868981074579,4.791,1.0,289.698,299.842,272.424,294.216,84.15818918490326,35.549,36.246,74.677,9.808,33.863,81.159
,0,274.76,284.23,268.496,294.852,56586.749,105810.904,0.22,0.23838879046545336,4.281,0.6765805065234076,0.00024330392943063353,0.001,-0.0,17.846,0.437,47270.985,162.46,-0.001,-0.203,-1.063,-0.881,1.1185108974358975,214.443,4.06,1.0,284.71,303.45619514955536,282.124,291.546,55.258,36.974,34.734,74.378,8.237,35.578,75.015
,1,276.196,268.329,357.167,270.82,55147.685,104282.9,0.246,0.23838879046545336,6.333,-0.19,-0.0,-0.0,0.001,17.875,0.408,47451.673,337.12472982675195,-0.001,-0.196,-0.561,-0.874,0.475,221.613,3.822,1.0,290.002,286.696,265.065,296.603,57.113,37.553,35.945,73.191,3.1886087160262413,32.983,79.939
,1,291.483,393.442,285.547,276.422,58765.992,104987.122,0.293,0.23838879046545336,4.334,-0.196,-0.0,-0.001,0.001,16.525,0.41,47491.224,189.702,-0.001,-0.207,-0.54,-0.978,1.1185108974358975,253.709,4.445,1.0,272.913,303.45619514955536,269.62,287.291,60.576,41.538,40.471,80.487,7.149,32.71494814105633,75.591
,1,268.168,518.689,284.31,290.438,56586.671,106168.075,0.281,0.077,3.711,-0.178,-0.0,-0.001,0.0001823262839879154,16.99,0.481,25344.456596221018,195.837,-0.001,-0.193,-0.509,-0.873,0.304,243.041,3.854,1.0,301.0289560691872,295.544,268.086,286.666,60.349,42.64,73.29326036249014,78.211,3.1886087160262413,33.297,79.955
,1,287.494,298.3190619678335,271.658,282.003,54670.955,104387.0666266772,0.251,0.034,3.788,-0.209,0.00024330392943063353,0.001,-0.0,17.973,0.502,50006.605,183.487,-0.0,-0.195,-0.525,-0.948,1.1185108974358975,166.868981074579,3.521,1.0,287.722,303.45619514955536,298.4101307426054,286.389,61.21,41.486,41.735,138.697,5.405,33.189,76.408
,0,287.46,282.365,283.316,283.117,55573.457,100146.427,0.1761047693510555,-0.078,3.469,-0.37,0.003,-0.001,0.0001823262839879154,18.183,0.548,50147.331,121.131,-0.002,-0.21,-0.536,-0.988,0.098,328.764,3.406,1.0,274.191,282.751,298.4101307426054,302.758,62.716,79.54927951657885,73.29326036249014,97.21177445652174,4.796,34.227,79.645
,0,264.767,261.171,266.665,270.094,54761.588,100685.362,0.1761047693510555,-0.23,3.75,-0.213,0.00024330392943063353,0.001,0.0,17.444,0.532,49730.947,87.724,0.00018991517436380773,-0.213,-0.581,-0.982,0.244,366.504,3.768,1.0,271.347,278.528,298.4101307426054,275.678,84.15818918490326,42.823,40.996,75.729,4.187,34.122,74.548
