time_utc,2m_temperature,2m_dewpoint_temperature,maximum_2m_temperature_since_previous_post_processing,minimum_2m_temperature_since_previous_post_processing,surface_pressure,mean_sea_level_pressure,10m_u_component_of_wind,10m_v_component_of_wind,10m_wind_gust_since_previous_post_processing,total_precipitation,convective_precipitation,large_scale_precipitation,mean_total_precipitation_rate,total_column_water_vapour,total_cloud_cover,geopotential,convective_available_potential_energy,precip_rate_mm_per_hr,precip_1h,precip_3h,precip_6h,wind_speed_10m,wind_dir_10m_deg,wind_gust_10m,wind_gust_dir_deg,morning_temp,afternoon_temp,daily_min_temp,daily_max_temp,morning_rh,afternoon_rh,daily_rh_min,daily_rh_max,dewpoint_depression_c,station_lat,station_lon,time_local,label,_target_orig,date,new_label
,,264.379,293.144,573.38,56188.345,104798.267,0.828,,8.992,0.201,-0.001,-0.001,0.001,20.401,,48586.019,255.68,0.001,0.221,0.503,0.861,1.034,313.609,,,285.797,280.82,273.489,297.201,54.323,34.069,,74.0,13.468,35.555,79.664,2022-07-02 15:30:00+05:30,0.96,2022-07-02 10:00:00,2022-07-02,0
,280.281,262.405,,291.911,53253.836,99094.571,0.845,,8.56,0.054,-0.001,-0.002,-0.0,,0.466,50676.493,,,,0.236,0.408,,307.239,8.394,,270.058,282.976,275.174,,,34.617,,74.535,15.065,33.929,76.927,2022-07-02 16:30:00+05:30,1.028,2022-07-02 11:00:00,2022-07-02,0
,275.669,415.558,293.913,281.647,55017.391,100069.289,0.804,,8.07,,0.001,-0.001,-0.002,,0.513,47054.316,185.697,0.002,0.04,0.233,,,298.419,7.924,,284.483,,,300.514,55.933,33.923,,72.122,15.722,35.716,73.703,2022-07-02 17:30:00+05:30,0.991,2022-07-02 12:00:00,2022-07-02,0
,,283.078,528.232,,,95398.492,0.804,-0.252,6.998,-0.05,,-0.001,-0.0,17.766,,49926.607,178.657,,-0.051,-0.043,0.092,1.545,292.668,,,278.5,276.148,,,56.445,32.322,27.827,72.14,16.044,34.354,79.166,2022-07-02 18:30:00+05:30,0.975,2022-07-02 13:00:00,2022-07-02,0
,,,297.758,276.46,93176.554,101484.577,,0.044,6.306,-0.15,0.001,0.0,,17.639,0.328,,167.941,-0.001,-0.15,-0.297,-0.287,0.684,267.802,6.497,,,293.958,277.266,,,,28.767,77.081,12.998,32.554,79.965,2022-07-02 19:30:00+05:30,0.995,2022-07-02 14:00:00,2022-07-02,0
,294.487,269.494,,285.761,54922.68,104840.207,0.584,,5.56,,-0.0,0.002,0.0,17.619,0.313,,182.547,-0.0,-0.213,-0.492,-0.575,0.599,266.131,5.712,,280.949,300.96,288.335,280.271,55.482,33.035,26.175,72.958,10.997,33.896,81.105,2022-07-02 20:30:00+05:30,,2022-07-02 15:00:00,2022-07-02,0
,281.208,264.79,286.314,289.813,56303.044,103622.46,,0.043,4.965,,0.001,0.002,-0.001,16.939,0.238,46275.604,179.85,0.001,-0.222,,-0.795,0.421,261.66,4.909,,277.949,290.982,,289.081,,46.881,28.889,76.094,,33.901,104.066,2022-07-02 21:30:00+05:30,,2022-07-02 16:00:00,2022-07-02,0
,278.195,284.526,,,54282.449,102110.726,0.371,,,-0.231,0.0,,0.002,16.799,0.272,,189.876,0.0,-0.223,-0.638,,0.406,271.281,4.674,,283.182,,279.082,302.416,,34.357,27.169,,8.434,,77.727,2022-07-02 22:30:00+05:30,0.95,2022-07-02 17:00:00,2022-07-02,0
,294.192,270.206,286.551,268.121,57685.629,,0.285,0.065,4.242,-0.223,0.001,0.0,-0.0,16.678,0.302,,188.366,,-0.219,-0.62,-0.957,0.297,,,,,,270.947,300.314,72.361,,27.891,70.662,,,75.945,2022-07-02 23:30:00+05:30,0.952,2022-07-02 18:00:00,2022-07-02,0
,274.398,,282.105,270.622,,104406.306,0.28,0.028,,-0.207,-0.0,0.0,-0.0,17.313,0.316,,191.568,-0.001,-0.191,-0.571,-1.002,0.275,269.375,4.048,,277.594,,274.334,275.373,56.4,36.644,37.161,73.77,6.972,34.991,78.369,2022-07-03 00:30:00+05:30,1.018,2022-07-02 19:00:00,2022-07-03,0
,280.81,282.274,269.42,278.091,56823.34,104133.89,,-0.031,3.894,-0.207,0.0,0.0,0.0,17.039,0.401,,165.926,0.0,-0.208,-0.555,-1.014,0.327,286.31,3.899,,282.506,301.205,437.356,277.469,56.883,,36.83,78.155,6.228,34.936,79.795,2022-07-03 01:30:00+05:30,1.021,2022-07-02 20:00:00,2022-07-03,0
,,,284.4,271.869,55652.265,204329.26,,-0.095,3.89,,-0.001,-0.001,-0.001,,0.425,46959.81,143.736,-0.001,-0.308,-0.553,-0.955,0.179,309.618,,,288.317,287.515,275.581,281.792,59.58,35.122,34.638,72.385,5.977,35.141,105.291,2022-07-03 02:30:00+05:30,,2022-07-02 21:00:00,2022-07-03,0
,290.551,282.205,286.674,289.727,55759.281,99330.438,0.091,-0.131,3.709,-0.206,0.001,0.0,-0.001,,,,110.871,0.001,-0.191,,-0.889,0.159,337.422,3.834,,283.706,284.122,264.213,278.652,,38.085,36.821,74.637,,,79.395,2022-07-03 03:30:00+05:30,1.047,2022-07-02 22:00:00,2022-07-03,0
,,272.569,266.109,280.342,57359.076,97822.789,0.153,-0.249,3.766,-0.218,0.002,-0.001,0.002,16.854,0.464,,63.808,0.0,-0.21,-0.556,,0.281,,3.54,,296.321,296.882,266.062,,59.902,38.752,,74.386,4.219,,79.664,2022-07-03 04:30:00+05:30,0.988,2022-07-02 23:00:00,2022-07-03,0
,271.866,,281.429,,55829.592,99057.491,0.104,-0.248,3.42,-0.216,-0.0,-0.0,0.001,16.385,0.468,46508.331,45.321,-0.003,,,-1.061,0.257,,3.747,,275.502,,,280.66,59.773,37.388,36.977,,4.087,32.768,74.534,2022-07-03 05:30:00+05:30,1.022,2022-07-03 00:00:00,2022-07-03,0
,274.828,278.598,268.305,265.387,57057.515,161610.752,0.186,-0.234,3.459,-0.229,-0.001,-0.0,,16.284,0.488,49006.04,54.364,-0.001,,-0.622,-1.057,,314.56,3.771,,274.027,284.848,,,58.525,,36.683,72.641,3.941,34.592,78.498,2022-07-03 06:30:00+05:30,1.008,2022-07-03 01:00:00,2022-07-03,0
,,263.582,271.308,,54821.294,100744.277,0.148,-0.239,3.831,-0.488,0.0,0.001,-0.0,16.652,0.4,49600.254,57.873,0.001,-0.221,-0.601,-1.037,0.303,334.333,3.851,,554.205,294.455,285.741,288.474,54.754,54.936,36.842,78.062,10.387,33.218,81.146,2022-07-03 07:30:00+05:30,,2022-07-03 02:00:00,2022-07-03,0
,283.396,540.775,271.18,,54212.631,99956.046,,-0.266,6.522,-0.233,0.001,0.001,0.0,16.158,0.285,48542.106,74.169,0.0,-0.239,-0.611,-1.045,0.269,345.342,,,271.372,291.717,,302.428,,36.698,36.711,75.277,7.288,35.76,80.792,2022-07-03 08:30:00+05:30,0.964,2022-07-03 03:00:00,2022-07-03,0
,291.509,281.599,290.136,266.939,58576.022,97047.593,-0.124,,4.58,-0.237,,,,17.297,0.191,48816.548,,,-0.235,-0.663,-1.046,0.157,51.064,4.641,,293.161,283.033,,275.047,57.856,36.183,,77.774,9.232,35.245,75.943,2022-07-03 09:30:00+05:30,0.959,2022-07-03 04:00:00,2022-07-03,0
,271.974,,293.328,280.576,54498.522,,-0.018,0.176,,-0.175,,,-0.0,17.105,0.204,48158.937,204.97,-0.001,,-0.495,-0.852,0.172,260.946,5.192,,292.302,,465.607,,58.092,38.097,,76.474,,34.915,,2022-07-03 10:30:00+05:30,0.983,2022-07-03 05:00:00,2022-07-03,0
,292.365,285.158,288.407,296.182,58621.048,97902.301,0.237,0.392,,,0.001,-0.0,0.002,18.002,0.384,48313.855,,0.0,-0.132,-0.365,-0.681,0.475,200.773,11.661,,,275.132,282.735,,60.127,35.558,36.385,77.438,19.71,33.249,74.272,2022-07-03 11:30:00+05:30,0.95,2022-07-03 06:00:00,2022-07-03,0
,278.124,,,,58539.796,,,0.426,,-0.096,-0.0,0.001,-0.002,17.285,0.878,50242.417,468.394,0.0,-0.103,-0.285,,0.666,231.481,5.923,,287.732,285.229,,276.451,,38.037,36.666,73.534,13.766,34.208,80.582,2022-07-03 12:30:00+05:30,0.983,2022-07-03 07:00:00,2022-07-03,0
,284.991,268.4,,451.566,54808.756,98397.09,0.838,0.014,6.18,,0.001,,-0.0,17.406,0.615,48811.474,573.386,0.001,-0.1,-0.271,-0.449,0.86,257.807,6.276,,270.969,,,300.266,59.88,37.408,34.126,154.82,14.205,32.478,80.274,2022-07-03 13:30:00+05:30,0.961,2022-07-03 08:00:00,2022-07-03,0
,301.887,272.179,297.569,,89239.863,105329.611,1.049,,,-0.063,-0.002,-0.001,0.001,17.611,0.596,46566.809,620.396,0.0,,,,1.056,291.393,7.025,,510.972,282.731,280.589,279.907,58.748,38.658,36.586,72.275,14.032,35.049,,2022-07-03 14:30:00+05:30,0.991,2022-07-03 09:00:00,2022-07-03,0
,,527.879,289.373,289.237,,,1.26,,7.974,0.183,0.0,-0.001,-0.001,20.425,,,439.143,-0.001,,0.401,0.817,1.279,306.056,7.554,,294.397,296.521,,283.341,58.16,38.742,,77.44,14.932,33.565,140.405,2022-07-03 15:30:00+05:30,0.995,2022-07-03 10:00:00,2022-07-03,0
,279.238,260.221,277.904,,55423.727,104292.138,1.518,-0.754,8.846,0.218,0.001,0.001,,19.016,,,328.521,-0.001,0.221,0.591,,1.274,,9.014,,275.526,281.572,278.507,291.479,56.787,35.384,34.489,73.788,14.566,35.056,75.81,2022-07-03 16:30:00+05:30,,2022-07-03 11:00:00,2022-07-03,0
,282.451,,275.392,293.376,,,1.122,-0.598,8.78,,-0.002,-0.0,-0.0,18.091,0.556,49206.711,213.707,0.003,,,0.628,1.221,430.183,,,271.029,290.377,,300.444,57.939,36.784,35.996,,14.528,33.06,77.177,2022-07-03 17:30:00+05:30,0.976,2022-07-03 12:00:00,2022-07-03,0
,,259.15,282.102,,56112.475,104410.814,1.055,-0.307,7.727,-0.082,0.002,-0.0,0.003,17.361,,49887.019,,-0.002,-0.074,-0.029,,,292.135,,,287.355,277.691,269.694,289.607,,36.557,35.796,74.322,14.498,33.411,80.4,2022-07-03 18:30:00+05:30,1.006,2022-07-03 13:00:00,2022-07-03,0
,402.835,276.031,,287.594,54912.05,,,-0.008,10.687,-0.155,,-0.002,,16.858,0.493,46554.827,217.437,0.0,-0.168,-0.324,-0.303,0.794,270.239,7.041,,296.121,296.437,272.029,,57.372,36.769,34.085,77.711,11.964,34.794,74.297,2022-07-03 19:30:00+05:30,0.952,2022-07-03 14:00:00,2022-07-03,0
,296.794,276.708,427.666,272.139,54856.662,96921.122,0.489,0.142,5.67,-0.209,0.001,-0.002,-0.002,17.333,0.429,46479.998,203.737,-0.002,-0.204,-0.51,,,,8.392,,295.513,279.364,288.181,,55.655,35.52,,74.245,9.329,35.187,78.12,2022-07-03 20:30:00+05:30,,2022-07-03 15:00:00,2022-07-03,0
,286.148,269.569,,276.598,55737.331,98018.902,0.242,,4.763,,-0.001,0.001,0.0,17.814,,49490.14,175.608,0.001,-0.207,-0.544,-0.688,0.313,,4.791,,289.698,299.842,272.424,294.216,,35.549,36.246,74.677,9.808,33.863,81.159,2022-07-03 21:30:00+05:30,0.988,2022-07-03 16:00:00,2022-07-03,0
,274.76,284.23,268.496,294.852,56586.749,105810.904,0.22,,4.281,,,0.001,-0.0,17.846,0.437,47270.985,162.46,-0.001,-0.203,-1.063,-0.881,,214.443,4.06,,284.71,,282.124,291.546,55.258,36.974,34.734,74.378,8.237,35.578,75.015,2022-07-03 22:30:00+05:30,,2022-07-03 17:00:00,2022-07-03,0
,276.196,268.329,357.167,270.82,55147.685,104282.9,0.246,,6.333,-0.19,-0.0,-0.0,0.001,17.875,0.408,47451.673,,-0.001,-0.196,-0.561,-0.874,0.475,221.613,3.822,,290.002,286.696,265.065,296.603,57.113,37.553,35.945,73.191,,32.983,79.939,2022-07-03 23:30:00+05:30,0.982,2022-07-03 18:00:00,2022-07-03,0
,291.483,393.442,285.547,276.422,58765.992,104987.122,0.293,,4.334,-0.196,-0.0,-0.001,0.001,16.525,0.41,47491.224,189.702,-0.001,-0.207,-0.54,-0.978,,253.709,4.445,,272.913,,269.62,287.291,60.576,41.538,40.471,80.487,7.149,,75.591,2022-07-04 00:30:00+05:30,1.017,2022-07-03 19:00:00,2022-07-04,0
,268.168,518.689,284.31,290.438,56586.671,106168.075,0.281,0.077,3.711,-0.178,-0.0,-0.001,,16.99,0.481,,195.837,-0.001,-0.193,-0.509,-0.873,0.304,243.041,3.854,,,295.544,268.086,286.666,60.349,42.64,,78.211,,33.297,79.955,2022-07-04 01:30:00+05:30,1.011,2022-07-03 20:00:00,2022-07-04,0
,287.494,,271.658,282.003,54670.955,,0.251,0.034,3.788,-0.209,,0.001,-0.0,17.973,0.502,50006.605,183.487,-0.0,-0.195,-0.525,-0.948,,,3.521,,287.722,,,286.389,61.21,41.486,41.735,138.697,5.405,33.189,76.408,2022-07-04 02:30:00+05:30,0.979,2022-07-03 21:00:00,2022-07-04,0
,287.46,282.365,283.316,283.117,55573.457,100146.427,,-0.078,3.469,-0.37,0.003,-0.001,,18.183,0.548,50147.331,121.131,-0.002,-0.21,-0.536,-0.988,0.098,328.764,3.406,,274.191,282.751,,302.758,62.716,,,,4.796,34.227,79.645,2022-07-04 03:30:00+05:30,0.953,2022-07-03 22:00:00,2022-07-04,0
,264.767,261.171,266.665,270.094,54761.588,100685.362,,-0.23,3.75,-0.213,,0.001,0.0,17.444,0.532,49730.947,87.724,,-0.213,-0.581,-0.982,0.244,366.504,3.768,,271.347,278.528,,275.678,,42.823,40.996,75.729,4.187,34.122,74.548,2022-07-04 04:30:00+05:30,0.974,2022-07-03 23:00:00,2022-07-04,0
,274.982,,278.978,285.749,57156.036,,-0.029,-0.287,3.911,-0.212,,-0.001,,17.421,0.59,49114.674,66.089,-0.002,-0.224,-1.023,-0.969,0.304,4.918,3.68,,289.882,293.931,433.24,,,43.511,,114.953,3.504,35.076,80.845,2022-07-04 05:30:00+05:30,0.984,2022-07-04 00:00:00,2022-07-04,0
,277.128,268.266,288.804,266.867,55208.03,103140.959,-0.044,,,-0.226,0.002,-0.001,0.001,17.238,0.55,46392.466,57.302,0.002,-0.226,-1.223,-1.066,0.357,,3.889,,286.316,284.26,288.784,291.547,,,,81.353,,33.518,75.371,2022-07-04 06:30:00+05:30,,2022-07-04 01:00:00,2022-07-04,0
,277.81,283.852,395.221,,56880.587,99429.458,,,4.556,-0.233,0.0,0.001,0.0,16.765,,49595.973,44.421,0.001,-0.213,-0.615,,0.493,15.908,4.375,1.0,289.299,284.711,273.501,302.752,58.38,43.372,39.308,77.781,4.831,34.522,78.688,2022-07-04 07:30:00+05:30,1.041,2022-07-04 02:00:00,2022-07-04,0
,288.702,270.396,285.912,,92051.088,100726.802,,-0.452,4.523,-0.232,0.001,0.001,0.002,17.391,,,42.451,-0.0,-0.233,-0.627,-1.033,0.595,38.035,9.692,,291.504,295.037,,295.16,60.067,41.459,39.491,77.673,,35.659,74.571,2022-07-04 08:30:00+05:30,1.015,2022-07-04 03:00:00,2022-07-04,0
